# Downloaded from https://figshare.com/articles/dataset/OKCupid_Datasets/14987388
d_age,d_gender,q36355,q45632,q49093,q45835,q12584
31,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
37,Man,No.,No.,Utterly wrong.,Rain,No
37,Woman,Yes.,Yes.,Utterly wrong.,Rain,Yes
34,Woman,No.,No.,Utterly wrong.,Sun,Yes
45,Man,No.,No.,OK sometimes.,Sun,Yes
41,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
44,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
35,Man,Yes.,No.,Utterly wrong.,Sun,Yes
33,Woman,No.,No.,Perfectly fine.,Sun,Yes
44,Man,No.,No.,OK sometimes.,Sun,No
32,Woman,No.,No.,OK sometimes.,Sun,Yes
36,Man,No.,No.,Utterly wrong.,Sun,Yes
29,Man,No.,No.,Utterly wrong.,Sun,Yes
26,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
23,Man,Yes.,No.,Utterly wrong.,Snow,No
32,Man,No.,Yes.,Utterly wrong.,Cloudy,No
41,Woman,No.,No.,OK sometimes.,Sun,Yes
28,Man,Yes.,No.,Utterly wrong.,Sun,Yes
38,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
41,Woman,No.,No.,Utterly wrong.,Sun,Yes
28,Woman,No.,Yes.,Utterly wrong.,Sun,No
31,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
42,Man,Yes.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Perfectly fine.,Rain,Yes
28,Woman,No.,No.,Utterly wrong.,Sun,Yes
32,Man,Yes.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
41,Woman,No.,No.,Perfectly fine.,Sun,Yes
35,Man,No.,No.,OK sometimes.,Sun,No
31,Man,No.,No.,Utterly wrong.,Cloudy,Yes
33,Man,No.,No.,Perfectly fine.,Snow,Yes
43,Man,Yes.,No.,Utterly wrong.,Cloudy,Yes
37,Woman,Yes.,No.,OK sometimes.,Rain,No
36,Woman,No.,No.,Utterly wrong.,Rain,Yes
30,Man,No.,No.,Utterly wrong.,Sun,No
39,Man,No.,Yes.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,Utterly wrong.,Sun,Yes
26,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
42,Woman,No.,No.,OK sometimes.,Sun,Yes
28,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
46,Woman,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
45,Woman,No.,No.,Perfectly fine.,Sun,Yes
26,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
25,Woman,No.,No.,OK sometimes.,Sun,Yes
43,Woman,No.,No.,Utterly wrong.,Sun,Yes
23,Woman,No.,No.,Not a subject I have an opinion on.,Rain,Yes
30,Woman,No.,No.,Not a subject I have an opinion on.,Sun,No
28,Woman,No.,No.,Utterly wrong.,Rain,No
29,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,No
26,Woman,No.,No.,OK sometimes.,Sun,Yes
27,Woman,No.,No.,OK sometimes.,Sun,No
23,Woman,No.,No.,Utterly wrong.,Rain,Yes
26,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
44,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
24,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
